publisher,developers,id,app_name,price,specs,genres,early_access,tags,owners,review_score,release_date
Secret Level SRL,Secret Level SRL,643980,Ironbound,Free,"Single-player, Multi-player, PvP, Online PvP, LAN PvP, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, In-App Purchases","Indie, RPG, Strategy, Free to Play",False,"Indie, 2D, Inclusivity, Difficult, Puzzle, Early Access, PvP, Turn-based, Fantasy, RPG, High-Quality, Strategy","50,000 .. 100,000",67,2018-Winter
ThankGame.com,Poolians.com,670290,Real Pool 3D - Poolians,Free,"Single-player, Multi-player, PvP, Online PvP, In-App Purchases, Stats","Action, Casual, Free to Play, Indie, Massively Multiplayer, Simulation, Sports, Strategy",False,"Indie, Casual, First Person, Action, 3D, PvP, Horror/Mystery, Sports, Realistic/Sim, Shooter, Single-Player, Comedy, Multiplayer, Strategy, Co-op","1,000,000 .. 2,000,000",77,2018-Winter
Trickjump Games Ltd,Trickjump Games Ltd,772540,Battle Royale Trainer,Under $10,"Single-player, Steam Achievements, Family Sharing","Action, Adventure, Simulation",False,"Third Person, Action, Difficult, Realistic/Sim, Shooter, Single-Player, Adventure, Multiplayer, First Person","200,000 .. 500,000",57,2018-Winter
Apillo,Apillo,773650,The first thrust of God,Under $1,"Single-player, Steam Achievements, Steam Cloud, Family Sharing","Adventure, Casual, Indie, Simulation, Strategy",False,"Indie, Casual, Realistic/Sim, Adventure, Strategy","0 .. 20,000",13,2018-Winter
Tero Lunkka,Tero Lunkka,768060,The Warrior Of Treasures,Under $1,"Single-player, Family Sharing","Action, Adventure, Indie",False,"Indie, Adventure, Action","0 .. 20,000",67,2018-Winter
THQ Nordic,Stainless Games Ltd,282010,Carmageddon Max Pack,Under $10,"Single-player, Multi-player, Steam Trading Cards, Family Sharing","Action, Indie, Racing",False,"Indie, Gore, Historical/Old-Times, Inclusivity, Action, Unique-aspects, Single-Player, High-Quality, Multiplayer, Racing","100,000 .. 200,000",88,1997-Summer
ETGgames,ETGgames,766850,Vaporwave Simulator,Under $1,"Single-player, Family Sharing","Casual, Indie, Simulation",False,"Indie, Realistic/Sim, Casual, Unique-aspects","0 .. 20,000",64,2018-Winter
TPM.CO SOFT WORKS,TPM.CO SOFT WORKS,603280,TAROTICA VOO DOO,Under $10,"Single-player, Partial controller support, Family Sharing","Action, Adventure, Indie, RPG",False,"Indie, Historical/Old-Times, Action, RPG, Adventure","0 .. 20,000",92,2017-Winter
Mad Unicorn Games,Mad Unicorn Games,764280,Atomic Adam: Episode 1,Under $10,"Single-player, Steam Achievements, Partial controller support, Family Sharing","Action, Adventure, Casual",False,"Adventure, Casual, Action","0 .. 20,000",88,2017-Winter
2K,"MicroProse Software, Inc",7650,X-COM: Terror From the Deep,Under $1,"Single-player, Family Sharing",Strategy,False,"Historical/Old-Times, Difficult, Horror/Mystery, Turn-based, Unique-aspects, Sandbox/Building, Single-Player, Sci-fi, Strategy","500,000 .. 1,000,000",90,2007-Spring
