publisher,developers,id,app_name,price,specs,genres,early_access,tags,owners,review_score,release_date
Secret Level SRL,Secret Level SRL,643980,Ironbound,Free,"Single-player, Multi-player, PvP, Online PvP, LAN PvP, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, In-App Purchases","Indie, RPG, Strategy, Free to Play",FALSE,"Indie, 2D, Inclusivity, Difficult, Puzzle, Early Access, PvP, Turn-based, Fantasy, RPG, High-Quality, Strategy","50,000 .. 100,000",67,2018-Autumn
ThankGame.com,Poolians.com,670290,Real Pool 3D - Poolians,Free,"Single-player, Multi-player, PvP, Online PvP, In-App Purchases, Stats","Action, Casual, Free to Play, Indie, Massively Multiplayer, Simulation, Sports, Strategy",FALSE,"Indie, Casual, First Person, Action, 3D, PvP, Horror/Mystery, Sports, Realistic/Sim, Shooter, Single-Player, Comedy, Multiplayer, Strategy, Co-op","1,000,000 .. 2,000,000",77,2018-Autumn
Trickjump Games Ltd,Trickjump Games Ltd,772540,Battle Royale Trainer,Under $10,"Single-player, Steam Achievements, Family Sharing","Action, Adventure, Simulation",FALSE,"Third Person, Action, Difficult, Realistic/Sim, Shooter, Single-Player, Adventure, Multiplayer, First Person","200,000 .. 500,000",57,2018-Autumn
Apillo,Apillo,773650,The first thrust of God,Under $1,"Single-player, Steam Achievements, Steam Cloud, Family Sharing","Adventure, Casual, Indie, Simulation, Strategy",FALSE,"Indie, Casual, Realistic/Sim, Adventure, Strategy","0 .. 20,000",13,2018-Autumn
Tero Lunkka,Tero Lunkka,768060,The Warrior Of Treasures,Under $1,"Single-player, Family Sharing","Action, Adventure, Indie",FALSE,"Indie, Adventure, Action","0 .. 20,000",67,2018-Autumn
THQ Nordic,Stainless Games Ltd,282010,Carmageddon Max Pack,Under $10,"Single-player, Multi-player, Steam Trading Cards, Family Sharing","Action, Indie, Racing",FALSE,"Indie, Gore, Historical/Old-Times, Inclusivity, Action, Unique-aspects, Single-Player, High-Quality, Multiplayer, Racing","100,000 .. 200,000",88,1997-Autumn
ETGgames,ETGgames,766850,Vaporwave Simulator,Under $1,"Single-player, Family Sharing","Casual, Indie, Simulation",FALSE,"Indie, Realistic/Sim, Casual, Unique-aspects","0 .. 20,000",64,2018-Autumn
TPM.CO SOFT WORKS,TPM.CO SOFT WORKS,603280,TAROTICA VOO DOO,Under $10,"Single-player, Partial controller support, Family Sharing","Action, Adventure, Indie, RPG",FALSE,"Indie, Historical/Old-Times, Action, RPG, Adventure","0 .. 20,000",92,2017-Autumn
Mad Unicorn Games,Mad Unicorn Games,764280,Atomic Adam: Episode 1,Under $10,"Single-player, Steam Achievements, Partial controller support, Family Sharing","Action, Adventure, Casual",FALSE,"Adventure, Casual, Action","0 .. 20,000",88,2017-Autumn
2K,"MicroProse Software, Inc",7650,X-COM: Terror From the Deep,Under $1,"Single-player, Family Sharing",Strategy,FALSE,"Historical/Old-Times, Difficult, Horror/Mystery, Turn-based, Unique-aspects, Sandbox/Building, Single-Player, Sci-fi, Strategy","500,000 .. 1,000,000",90,2007-Autumn
id Software,id Software,2280,DOOM (1993),Under $10,"Single-player, Multi-player, PvP, Split Screen PvP, Co-op, Co-op, Co-op, Full controller support, Steam Cloud, Remote Play Together, Family Sharing",Action,FALSE,"Gore, Historical/Old-Times, 2D, Action, Difficult, Multiplayer, Unique-aspects, Shooter, High-Quality, Single-Player, Sci-fi, First Person","1,000,000 .. 2,000,000",96,2007-Autumn
Bethesda Softworks,id Software,2270,Wolfenstein 3D,Under $10,"Single-player, Steam Cloud, Family Sharing",Action,FALSE,"Warfare, 2D, Historical/Old-Times, Gore, Action, Difficult, Unique-aspects, Single-Player, Shooter, High-Quality, Adventure, First Person","500,000 .. 1,000,000",93,2007-Autumn
SEGA,Relic Entertainment,9310,"Warhammer® 40,000: Dawn of War® – Winter Assault",Under $10,"Single-player, Multi-player, Family Sharing",Strategy,FALSE,"Warfare, Historical/Old-Times, Action, Multiplayer, Sandbox/Building, Single-Player, Real-Time, Sci-fi, Strategy","200,000 .. 500,000",89,2007-Autumn
Big Fish Games,Big Fish Games,50970,Mystery Case Files: Madame Fate®,Under $10,"Single-player, Family Sharing",Casual,FALSE,"Puzzle, Casual","0 .. 20,000",79,2007-Autumn
Cosmi Valusoft,Gamebryo,12510,Prison Tycoon 3™: Lockdown,Under $10,"Single-player, Family Sharing",Strategy,FALSE,"Realistic/Sim, Strategy","20,000 .. 50,000",20,2008-Autumn
Ziggurat,SCS Software,12530,Hunting Unlimited™ 2008,Under $10,"Single-player, Family Sharing","Action, Adventure, Strategy",FALSE,"Adventure, Strategy, Action","20,000 .. 50,000",84,2008-Autumn
Last Day of Work,Last Day of Work,16180,Virtual Villagers - The Secret City,Under $10,"Single-player, Family Sharing","Casual, Simulation",FALSE,"Realistic/Sim, Casual","0 .. 20,000",91,2008-Autumn
"PopCap Games, Inc.",SpinTop Games,3520,Mystery P.I.™ - The Vegas Heist,Under $10,"Single-player, Family Sharing",Casual,FALSE,"Puzzle, Casual, Single-Player, Horror/Mystery","20,000 .. 50,000",81,2008-Autumn
Accelerate Games,MumboJumbo,15970,Luxor,Under $10,"Single-player, Family Sharing",Casual,FALSE,"Puzzle, Casual","20,000 .. 50,000",68,2008-Autumn
Accelerate Games,MumboJumbo,15960,Little Farm,Under $10,"Single-player, Family Sharing",Casual,FALSE,"Puzzle, Casual, Single-Player","20,000 .. 50,000",65,2008-Autumn
Accelerate Games,MumboJumbo,15900,7 Wonders II,Under $10,"Single-player, Family Sharing",Casual,FALSE,"Puzzle, Casual, Single-Player","50,000 .. 100,000",79,2008-Autumn
Accelerate Games,MumboJumbo,15910,Luxor Amun Rising,Under $10,"Single-player, Family Sharing",Casual,FALSE,"Puzzle, Casual","0 .. 20,000",73,2008-Autumn
Accelerate Games,MumboJumbo,15930,Luxor 3,Under $10,"Single-player, Family Sharing",Casual,FALSE,"Unique-aspects, Puzzle, Casual","20,000 .. 50,000",90,2008-Autumn
Ubisoft,Ubisoft,15160,Petz® Horsez® 2,Under $10,"Single-player, Family Sharing",Simulation,FALSE,"Realistic/Sim, Casual","0 .. 20,000",73,2009-Autumn
